uniqueID,preLimVal,region,hemi,genotype,postLimVal,removeRegion,parent,major,x,y
app_MH_left,-0.08655805,MH,left,app,0,FALSE,MH,TH,app,MH_left
app_MH_right,0.05578575,MH,right,app,0.05578575,FALSE,MH,TH,app,MH_right
app_ml_left,0.340000955,ml,left,app,0.340000955,TRUE,ml,fiber tracts,app,ml_left
app_ml_right,0.378442151,ml,right,app,0.378442151,TRUE,ml,fiber tracts,app,ml_right
app_mlf_left,0.25421715,mlf,left,app,0.25421715,TRUE,mlf,fiber tracts,app,mlf_left
app_mlf_right,0.116522262,mlf,right,app,0.116522262,TRUE,mlf,fiber tracts,app,mlf_right
app_MM_left,0.663401724,MM,left,app,0.663401724,FALSE,MM,HY,app,MM_left
app_MM_right,0.588597702,MM,right,app,0.588597702,FALSE,MM,HY,app,MM_right
app_MOp_left,0.958341398,MOp,left,app,0.958341398,FALSE,MOp,Isocortex,app,MOp_left
app_MOp_right,0.858804527,MOp,right,app,0.858804527,FALSE,MOp,Isocortex,app,MOp_right
app_MOs_left,0.898523165,MOs,left,app,0.898523165,FALSE,MOs,Isocortex,app,MOs_left
app_MOs_right,0.796608529,MOs,right,app,0.796608529,FALSE,MOs,Isocortex,app,MOs_right
app_moV_left,0.322017329,moV,left,app,0.322017329,TRUE,moV,fiber tracts,app,moV_left
app_moV_right,0.177376004,moV,right,app,0.177376004,TRUE,moV,fiber tracts,app,moV_right
app_mp_left,0.075242273,mp,left,app,0.075242273,TRUE,mp,fiber tracts,app,mp_left
app_mp_right,0.101429616,mp,right,app,0.101429616,TRUE,mp,fiber tracts,app,mp_right
app_MPO_right,0.215805245,MPO,right,app,0.215805245,FALSE,MPO,HY,app,MPO_right
app_MPT_left,0.532076962,MPT,left,app,0.532076962,FALSE,MPT,MB,app,MPT_left
app_MPT_right,0.312517632,MPT,right,app,0.312517632,FALSE,MPT,MB,app,MPT_right
app_MRN_left,0.39079496,MRN,left,app,0.39079496,FALSE,MRN,MB,app,MRN_left
app_MRN_right,0.401107495,MRN,right,app,0.401107495,FALSE,MRN,MB,app,MRN_right
app_MS_left,0.354164397,MS,left,app,0.354164397,FALSE,MS,PAL,app,MS_left
app_MS_right,0.360189953,MS,right,app,0.360189953,FALSE,MS,PAL,app,MS_right
app_MT_left,0.287217374,MT,left,app,0.287217374,FALSE,MT,MB,app,MT_left
app_MT_right,0.517186049,MT,right,app,0.517186049,FALSE,MT,MB,app,MT_right
app_mtg_left,-0.356814871,mtg,left,app,0,TRUE,mtg,fiber tracts,app,mtg_left
app_mtg_right,0.33291959,mtg,right,app,0.33291959,TRUE,mtg,fiber tracts,app,mtg_right
app_mtt_left,0.504885436,mtt,left,app,0.504885436,TRUE,mtt,fiber tracts,app,mtt_left
app_mtt_right,0.435938982,mtt,right,app,0.435938982,TRUE,mtt,fiber tracts,app,mtt_right
app_NB_left,0.667234876,NB,left,app,0.667234876,FALSE,NB,MB,app,NB_left
app_NB_right,0.643677231,NB,right,app,0.643677231,FALSE,NB,MB,app,NB_right
app_ND_left,0.28359115,ND,left,app,0.28359115,FALSE,ND,MB,app,ND_left
app_ND_right,0.255482599,ND,right,app,0.255482599,FALSE,ND,MB,app,ND_right
app_NDB_left,0.512011818,NDB,left,app,0.512011818,FALSE,NDB,PAL,app,NDB_left
app_NDB_right,0.503738548,NDB,right,app,0.503738548,FALSE,NDB,PAL,app,NDB_right
app_NLL_left,0.25691151,NLL,left,app,0.25691151,FALSE,NLL,P,app,NLL_left
app_NLL_right,0.310704389,NLL,right,app,0.310704389,FALSE,NLL,P,app,NLL_right
app_NOT_left,0.634260337,NOT,left,app,0.634260337,FALSE,NOT,MB,app,NOT_left
app_NOT_right,0.642113308,NOT,right,app,0.642113308,FALSE,NOT,MB,app,NOT_right
app_NPC_left,0.134192973,NPC,left,app,0.134192973,FALSE,NPC,MB,app,NPC_left
app_NPC_right,0.370848721,NPC,right,app,0.370848721,FALSE,NPC,MB,app,NPC_right
app_nst_left,0.52530306,nst,left,app,0.52530306,TRUE,nst,fiber tracts,app,nst_left
app_nst_right,0.589075695,nst,right,app,0.589075695,TRUE,nst,fiber tracts,app,nst_right
app_OLF_left,0.758459631,OLF,left,app,0.758459631,FALSE,OLF,OLF,app,OLF_left
app_OLF_right,0.720170973,OLF,right,app,0.720170973,FALSE,OLF,OLF,app,OLF_right
app_OP_left,-0.326808536,OP,left,app,0,FALSE,OP,MB,app,OP_left
app_OP_right,-0.190477192,OP,right,app,0,FALSE,OP,MB,app,OP_right
app_opt_left,0.319537422,opt,left,app,0.319537422,TRUE,opt,fiber tracts,app,opt_left
app_opt_right,0.137431633,opt,right,app,0.137431633,TRUE,opt,fiber tracts,app,opt_right
app_or_left,0.413186625,or,left,app,0.413186625,TRUE,or,fiber tracts,app,or_left
app_or_right,0.366658946,or,right,app,0.366658946,TRUE,or,fiber tracts,app,or_right
app_ORBl_left,0.749095713,ORBl,left,app,0.749095713,FALSE,ORB,Isocortex,app,ORBl_left
app_ORBl_right,0.688431383,ORBl,right,app,0.688431383,FALSE,ORB,Isocortex,app,ORBl_right
