region,mean_post,sd_post,mean_prior,sd_prior,ks_pvalue,updated
iMH,-1.5245613565724996,0.5366590848547116,0.0,1.0,0.0,1
iLH,-1.2088385317879116,0.5353349249090904,0.0,1.0,0.0,1
iPVH,-0.7385658872031429,0.6251849436681899,0.0,1.0,0.0,1
iARH,-0.9955151746433719,0.5699847975227119,0.0,1.0,0.0,1
iADP,-0.7313905324680969,0.6045850281744408,0.0,1.0,0.0,1
iAVP,-0.6163591324234925,0.5987889550483805,0.0,1.0,0.0,1
iAVPV,-0.8605784780361426,0.6002488448889197,0.0,1.0,0.0,1
iDMH,-0.6812666953073633,0.572947273105296,0.0,1.0,0.0,1
iMEPO,-0.7975527891166586,0.5934223589901989,0.0,1.0,0.0,1
iMPO,-0.7263293077973249,0.6458755925724438,0.0,1.0,0.0,1
iPS,-0.6965892233136435,0.5945664294936657,0.0,1.0,0.0,1
iVLPO,-0.8311534494994878,0.6074042675072513,0.0,1.0,0.0,1
iAHN,-0.7237602686250288,0.6333738214160537,0.0,1.0,0.0,1
iLM,-0.7847951053540596,0.5374653059390058,0.0,1.0,0.0,1
iMM,-0.8412362286458799,0.5951972392225728,0.0,1.0,0.0,1
iSUM,-0.9234314959691061,0.6204855414550138,0.0,1.0,0.0,1
iTM,-0.7470608086419844,0.6134653826717864,0.0,1.0,0.0,1
iMPN,-0.5645791305250774,0.6630040579871687,0.0,1.0,0.0,1
iPMd,-0.8078737083809302,0.6204482268165022,0.0,1.0,0.0,1
iPMv,-0.33275889915201334,0.51059635104136,0.0,1.0,0.0,1
iVMH,-0.7364016789401799,0.6165050481079346,0.0,1.0,0.0,1
iPH,-0.6225329903914284,0.6354489391854049,0.0,1.0,0.0,1
iLHA,-0.6066486756339309,0.6772891046661649,0.0,1.0,0.0,1
iLPO,-0.8023428399069238,0.6328167299472303,0.0,1.0,0.0,1
iPST,-0.8741990123374886,0.5709567025602748,0.0,1.0,0.0,1
iPSTN,-0.9281880319025273,0.533509777414633,0.0,1.0,0.0,1
iPeF,-0.9107535736909751,0.5772726154886535,0.0,1.0,0.0,1
iRCH,-0.7403234891105992,0.6307367788392356,0.0,1.0,0.0,1
iSTN,-1.2093772374219272,0.5592882325707177,0.0,1.0,0.0,1
iTU,-0.7670675599832025,0.5929648286405691,0.0,1.0,0.0,1
iFF,-0.9146012451368503,0.5750008778174496,0.0,1.0,0.0,1
iME,-1.089486982966119,0.5855207558906276,0.0,1.0,0.0,1
iSCs,-0.5963414098176921,0.651774226821252,0.0,1.0,0.0,1
iIC,-0.5935022498817116,0.6686813970493705,0.0,1.0,0.0,1
iSAG,-0.8840134825012451,0.5833144470039162,0.0,1.0,0.0,1
iPBG,-0.948515976076234,0.5765362006426986,0.0,1.0,0.0,1
iSCO,-0.9405918766173579,0.5737296253899571,0.0,1.0,0.0,1
iSNr,0.32764411407151417,0.053793918879178095,0.0,1.0,0.0,1
iVTA,0.6272496385171179,0.017799140676522853,0.0,1.0,0.0,1
iMRN,-0.16491605531673031,0.8743451901853128,0.0,1.0,1.0500916962515392e-22,1
iSCm,-0.1581492995941637,0.9071632302037016,0.0,1.0,3.362567046136402e-13,1
iPRC,-0.8290084488193314,0.6078491084683257,0.0,1.0,0.0,1
iINC,-0.8877732641064074,0.591976374060635,0.0,1.0,0.0,1
iND,-0.8884026501219391,0.6083531821627571,0.0,1.0,0.0,1
iSu3,-0.8354425053472253,0.6311077870472855,0.0,1.0,0.0,1
iAPN,-0.6672635800659127,0.618573207156843,0.0,1.0,0.0,1
iMPT,-0.7837470829316548,0.6028827191956225,0.0,1.0,0.0,1
iNOT,-0.8423621567071102,0.6365133661549409,0.0,1.0,0.0,1
iNPC,-0.7614254951749767,0.6259713260071864,0.0,1.0,0.0,1
iOP,-0.791176523147197,0.6149028830275168,0.0,1.0,0.0,1
iPPT,-0.7953970155573135,0.5945887057243587,0.0,1.0,0.0,1
iRPF,-0.7570177343266843,0.6082115568402441,0.0,1.0,0.0,1
iCUN,-0.6774151536132451,0.6248158607225056,0.0,1.0,0.0,1
iRN,-0.6850537983812292,0.5994446264398305,0.0,1.0,0.0,1
iIII,-0.7980737940551454,0.6105159524086187,0.0,1.0,0.0,1
iMA3,-0.9128933277829834,0.5578176291441558,0.0,1.0,0.0,1
iIV,-0.7945665492751858,0.5966214098965326,0.0,1.0,0.0,1
iPa4,-0.8578439851270079,0.5978782445278938,0.0,1.0,0.0,1
iVTN,-0.5340762839620781,0.677289514931596,0.0,1.0,0.0,1
iAT,-0.7918011162203202,0.5790883194485129,0.0,1.0,0.0,1
