region,mean_post,sd_post,mean_prior,sd_prior,ks_pvalue,updated
cAUDd,0.07972416743038113,0.05982117045329356,0.07978845608028654,0.060281027498908714,0.3498219485299211,0
cAUDp,0.08067081703323768,0.05975328440630576,0.07978845608028654,0.060281027498908714,0.23342120124236354,0
cAUDpo,0.07885013667737914,0.05917313915471614,0.07978845608028654,0.060281027498908714,0.7130775821804441,0
cAUDv,0.08428692280817623,0.060404573618116186,0.07978845608028654,0.060281027498908714,6.607148282530046e-6,1
cVISal,0.07979253699171689,0.05954553570942757,0.07978845608028654,0.060281027498908714,0.3979583615054254,0
cVISam,0.08128406745950204,0.06158481045853985,0.07978845608028654,0.060281027498908714,0.3171567733604208,0
cVISl,0.08195895119211971,0.06048832207918942,0.07978845608028654,0.060281027498908714,0.01798112722081999,0
cVISp,0.07959706951617863,0.059359741973644076,0.07978845608028654,0.060281027498908714,0.7012555257779554,0
cVISpl,0.07902550597357202,0.060370978831164004,0.07978845608028654,0.060281027498908714,0.03004232686632605,0
cVISpm,0.0807538259989964,0.06096161670906724,0.07978845608028654,0.060281027498908714,0.44767874484622205,0
cVISli,0.08229502796270895,0.06221643924800567,0.07978845608028654,0.060281027498908714,0.025313563186804635,0
cVISpor,0.07990792589088039,0.06081976174997973,0.07978845608028654,0.060281027498908714,0.9823461336265408,0
cACAd,0.10195298354863944,0.06582473044131694,0.07978845608028654,0.060281027498908714,1.885349934305213e-84,1
cACAv,0.08127970582795803,0.06127411079066229,0.07978845608028654,0.060281027498908714,0.08516726758743808,0
cPL,0.09865001157546635,0.06170011855869343,0.07978845608028654,0.060281027498908714,9.92452584675601e-74,1
cILA,0.078236704807341,0.05993575268034403,0.07978845608028654,0.060281027498908714,0.1400374542030258,0
cORBl,0.032355932686106,0.029157796449644446,0.07978845608028654,0.060281027498908714,0.0,1
cORBm,0.07858788057906607,0.059610572286855436,0.07978845608028654,0.060281027498908714,0.19971930463532186,0
cORBvl,0.05296839461593275,0.04565639029634063,0.07978845608028654,0.060281027498908714,3.185210249869656e-145,1
cAId,0.05976388429557233,0.04285293985539934,0.07978845608028654,0.060281027498908714,2.4382715042521853e-77,1
cAIp,0.28187879536466365,0.07092925473500383,0.07978845608028654,0.060281027498908714,0.0,1
cAIv,0.07676600351483105,0.05693636913412629,0.07978845608028654,0.060281027498908714,0.01184380446163542,0
cRSPagl,0.07951144186339522,0.05978477345369084,0.07978845608028654,0.060281027498908714,0.8044230440791589,0
cRSPd,0.07968530179770927,0.05901046150317278,0.07978845608028654,0.060281027498908714,0.17151191523657827,0
cRSPv,0.077650891046211,0.061154929347211756,0.07978845608028654,0.060281027498908714,0.019425275348736067,0
cVISa,0.08001982436490977,0.05970884834546148,0.07978845608028654,0.060281027498908714,0.40014525408963275,0
cVISrl,0.08003987065722046,0.059441012189402176,0.07978845608028654,0.060281027498908714,0.48092731478756057,0
cTEa,0.17737224668739782,0.10216327613604877,0.07978845608028654,0.060281027498908714,0.0,1
cPERI,0.4448130779235683,0.04158014474855024,0.07978845608028654,0.060281027498908714,0.0,1
cECT,0.46468195867895873,0.04033658229829163,0.07978845608028654,0.060281027498908714,0.0,1
cMOB,0.07818611187708364,0.05962008256213955,0.07978845608028654,0.060281027498908714,0.10422363417155012,0
cAON,0.07574492499314667,0.05890156122057695,0.07978845608028654,0.060281027498908714,0.00011685048146340325,1
cTT,0.07680719388850463,0.06087310558758263,0.07978845608028654,0.060281027498908714,0.00033660556787086125,1
cDP,0.07988375414609519,0.05964232470575574,0.07978845608028654,0.060281027498908714,0.23354794035786355,0
cPIR,0.07933115465203001,0.060486528993957726,0.07978845608028654,0.060281027498908714,0.6810222324277226,0
cCOAp,0.07909357117373685,0.061971851077429405,0.07978845608028654,0.060281027498908714,0.0862446391267468,0
cPAA,0.07916331181831951,0.060042336669052884,0.07978845608028654,0.060281027498908714,0.21521594151150744,0
cTR,0.07927875968332353,0.06154044221220341,0.07978845608028654,0.060281027498908714,0.10322904303113865,0
cCA1,0.0789010793583079,0.05800552702259813,0.07978845608028654,0.060281027498908714,0.19428367449178946,0
cCA2,0.0799023941714034,0.06130354506776431,0.07978845608028654,0.060281027498908714,0.8947794383540428,0
cCA3,0.07846622069304143,0.06035859221971529,0.07978845608028654,0.060281027498908714,0.3133184660188666,0
cDG,0.08025104788845829,0.05864075502135295,0.07978845608028654,0.060281027498908714,0.028527015769185426,0
cFC,0.08225083848942455,0.06067045717269565,0.07978845608028654,0.060281027498908714,0.014672078295567298,0
cIG,0.07979676586059434,0.0609418599382796,0.07978845608028654,0.060281027498908714,0.781827756659409,0
cENTl,0.08268210295701965,0.06309141323235404,0.07978845608028654,0.060281027498908714,0.13636952521974588,0
cENTm,0.0800219330114387,0.06029813634414841,0.07978845608028654,0.060281027498908714,0.8930417469443932,0
cPAR,0.07893550304919184,0.05966805679295165,0.07978845608028654,0.060281027498908714,0.4754634261835997,0
cPOST,0.08045269284334622,0.06395111881285168,0.07978845608028654,0.060281027498908714,0.00047006567276001163,1
cPRE,0.07873666521562757,0.058453177321812676,0.07978845608028654,0.060281027498908714,0.03498432050246642,0
cSUB,0.07989494257180563,0.060002911848082804,0.07978845608028654,0.060281027498908714,0.4642038682975358,0
cProS,0.07830303448084047,0.06025552145415056,0.07978845608028654,0.060281027498908714,0.027630770723743123,0
cHATA,0.08103587398637788,0.060557296755942104,0.07978845608028654,0.060281027498908714,0.2968197883435527,0
cAPr,0.07863711398817431,0.05911626742977715,0.07978845608028654,0.060281027498908714,0.26366350765822893,0
cCLA,0.07756957196097002,0.060389032037776326,0.07978845608028654,0.060281027498908714,0.004875855849690177,0
cEP,0.08097444178000865,0.06087912057853258,0.07978845608028654,0.060281027498908714,0.14247359043684726,0
cLA,0.07984114181494158,0.06133933765718883,0.07978845608028654,0.060281027498908714,0.2739867084461808,0
cBLA,0.30968793108904835,0.025507437098013508,0.07978845608028654,0.060281027498908714,0.0,1
cBMA,0.0882218894018559,0.06507557846507223,0.07978845608028654,0.060281027498908714,4.346950679642021e-11,1
cPA,0.07962518925698989,0.060531326037597026,0.07978845608028654,0.060281027498908714,0.6076904568086432,0
cCP,0.08118923163801185,0.0612977043406109,0.07978845608028654,0.060281027498908714,0.31362799162156063,0
